ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3297266960144043
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3297266960144043
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2707671523094177
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2707671523094177
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.0022972472943365574
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.0022972472943365574
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525615096092224
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525615096092224
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25253430008888245
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25253430008888245
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3379764258861542
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3379764258861542
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2524522542953491
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2524522542953491
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2525171935558319
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2525171935558319
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3271602988243103
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3271602988243103
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525451183319092
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2525451183319092
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2517678141593933
