,t-SNE1,t-SNE2,metaseek_env_package
635,-1.4933474,10.2405205,host-associated
636,-1.3146693,9.944903,host-associated
637,-3.3913643,7.4265327,host-associated
638,-8.731357,-2.966876,host-associated
639,-1.4810266,-8.643108,host-associated
640,4.9682508,-5.1784663,host-associated
641,1.5099334,1.340954,host-associated
642,-1.8238164,9.729981,host-associated
643,5.3833256,-5.2757587,host-associated
644,-3.7829452,8.089917,host-associated
645,-6.401716,3.8786714,host-associated
646,-2.2395067,2.7255902,host-associated
647,-2.7535746,-6.3684545,host-associated
648,-3.8412316,7.6911397,host-associated
649,-3.6753333,-7.503646,host-associated
650,-4.884509,7.0233574,host-associated
651,-5.6155796,-6.252651,host-associated
652,5.9980807,-5.3920307,host-associated
653,-1.4400014,10.192699,host-associated
654,-3.8268297,8.166855,host-associated
655,-1.311582,9.5045595,host-associated
656,4.564976,-0.14142656,host-associated
657,-1.719735,-4.802974,host-associated
658,-1.2691795,9.799988,host-associated
659,3.7027724,-4.8959312,host-associated
660,-1.5517913,-6.207905,host-associated
661,-1.2977122,10.063844,host-associated
662,-5.064931,4.8036704,host-associated
663,4.8474574,-4.74452,host-associated
664,6.1507463,-4.391336,host-associated
665,-0.66977924,7.910485,host-associated
666,-1.7700013,9.433478,host-associated
667,-0.95365554,7.4353027,host-associated
668,-0.6252262,8.627079,host-associated
669,5.566271,-6.3049006,host-associated
670,-1.5622674,10.369647,host-associated
671,-5.10157,-5.5914936,host-associated
672,-2.6584878,6.5776267,host-associated
673,-4.902232,4.6819935,host-associated
674,-1.750415,1.6415099,host-associated
675,-4.9415193,8.918394,host-associated
676,-2.4087641,-4.5734687,host-associated
677,-0.7574181,7.8294106,host-associated
678,-3.936566,8.240546,host-associated
679,5.5353622,-5.4506793,host-associated
680,7.665487,-5.615354,host-associated
681,-3.8694117,8.247445,host-associated
682,-6.1791162,-7.2041574,host-associated
683,-6.482099,-1.652227,host-associated
684,-4.3734956,2.9318004,host-associated
685,-6.979641,-5.3248997,host-associated
686,-3.5337484,7.440318,host-associated
687,-5.055249,-7.528303,host-associated
688,-3.8184044,7.9997644,host-associated
689,-1.3473098,9.856897,host-associated
690,-0.93125314,9.501773,host-associated
691,-1.4171327,9.88586,host-associated
692,4.387954,-4.0567284,host-associated
693,-1.2639571,9.176582,host-associated
694,-2.5323818,5.257054,host-associated
695,-1.6444949,3.9670625,host-associated
696,-3.3202577,7.399129,host-associated
697,-6.9654903,-5.531573,host-associated
698,-1.5138596,10.394804,host-associated
699,6.1365185,-6.003579,host-associated
700,-4.595496,5.022909,host-associated
701,6.462251,-4.319179,host-associated
702,-5.7987695,-5.6673193,host-associated
703,0.05478483,1.207459,host-associated
704,-3.872541,8.238646,host-associated
705,-4.5912523,4.957052,host-associated
706,4.89545,-6.380144,host-associated
707,-2.862402,-7.9104724,host-associated
708,-3.5472362,7.364377,host-associated
709,-1.4875613,7.479834,host-associated
710,-7.0656157,-5.205638,host-associated
711,-4.6654997,8.8635845,host-associated
712,-1.4904664,5.4673486,host-associated
713,-1.5910765,10.463442,host-associated
