 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775925.406386]          [Thread #43]      Converting DIAMOND...
[1602775925.5366201]         [Thread #43]      Parsing DIAMOND...
[1602775925.7094853]         [Thread #43]      Annotating...
[1602775926.0989497]         [Thread #43]      Analyzing...
[1602775926.3946147]         [Thread #43]      Create read mapping...
[1602775940.5548518]         [Thread #43]    - [Thread #43] finished
[1602775921.7470586]         [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602775921.7471576]         [Thread #44]      Creating output directories...
[1602775921.7487311]         [Thread #44]      Translating reads...
[1602775940.505847]          [Thread #44]      Running DIAMOND...
[1602775946.4591446]         [Thread #44]      Converting DIAMOND...
[1602775946.5870466]         [Thread #44]      Parsing DIAMOND...
[1602775946.8469813]         [Thread #44]      Annotating...
[1602775947.1889389]         [Thread #44]      Analyzing...
[1602775947.4195576]         [Thread #44]      Create read mapping...
[1602775962.734347]          [Thread #44]    - [Thread #44] finished
[1602775942.6951995]         [Thread #45]    - [Thread #45] running on [1/28] CPUs
[1602775942.6952806]         [Thread #45]      Creating output directories...
[1602775942.6967611]         [Thread #45]      Translating reads...
[1602775962.6911476]         [Thread #45]      Running DIAMOND...
[1602775968.645815]          [Thread #45]      Converting DIAMOND...
[1602775968.755285]          [Thread #45]      Parsing DIAMOND...
[1602775968.9407153]         [Thread #45]      Annotating...
[1602775969.2660587]         [Thread #45]      Analyzing...
[1602775969.4853826]         [Thread #45]      Create read mapping...
[1602775984.471096]          [Thread #45]    - [Thread #45] finished
[1602775964.7712364]         [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602775964.7713182]         [Thread #46]      Creating output directories...
[1602775964.7728581]         [Thread #46]      Translating reads...
[1602775984.448311]          [Thread #46]      Running DIAMOND...
[1602775990.4449031]         [Thread #46]      Converting DIAMOND...
[1602775990.5579133]         [Thread #46]      Parsing DIAMOND...
[1602775990.6960237]         [Thread #46]      Annotating...
[1602775990.8534396]         [Thread #46]      Analyzing...
[1602775991.0401833]         [Thread #46]      Create read mapping...
[1602776005.8102443]         [Thread #46]    - [Thread #46] finished
[1602775986.5324974]         [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602775986.5325873]         [Thread #47]      Creating output directories...
[1602775986.5342796]         [Thread #47]      Translating reads...
[1602776005.7940261]         [Thread #47]      Running DIAMOND...
[1602776011.7741854]         [Thread #47]      Converting DIAMOND...
[1602776011.8849773]         [Thread #47]      Parsing DIAMOND...
[1602776012.037155]          [Thread #47]      Annotating...
[1602776012.2720134]         [Thread #47]      Analyzing...
