 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602772073.9276698]         [Thread #65]      Create read mapping...
[1602772092.657105]          [Thread #65]    - [Thread #65] finished
[1602772068.796455]          [Thread #66]    - [Thread #66] running on [1/28] CPUs
[1602772068.79655]           [Thread #66]      Creating output directories...
[1602772069.06041]           [Thread #66]      Translating reads...
[1602772088.2031567]         [Thread #66]      Running DIAMOND...
[1602772093.9251814]         [Thread #66]      Converting DIAMOND...
[1602772094.0384066]         [Thread #66]      Parsing DIAMOND...
[1602772094.2260528]         [Thread #66]      Annotating...
[1602772094.639631]          [Thread #66]      Analyzing...
[1602772094.9532158]         [Thread #66]      Create read mapping...
[1602772110.0742497]         [Thread #66]    - [Thread #66] finished
[1602772089.9946816]         [Thread #67]    - [Thread #67] running on [1/28] CPUs
[1602772089.9947665]         [Thread #67]      Creating output directories...
[1602772089.9981878]         [Thread #67]      Translating reads...
[1602772109.7420409]         [Thread #67]      Running DIAMOND...
[1602772115.597551]          [Thread #67]      Converting DIAMOND...
[1602772115.7173617]         [Thread #67]      Parsing DIAMOND...
[1602772115.904188]          [Thread #67]      Annotating...
[1602772116.330372]          [Thread #67]      Analyzing...
[1602772116.6384623]         [Thread #67]      Create read mapping...
[1602772132.0503414]         [Thread #67]    - [Thread #67] finished
[1602772133.9014652]         [Thread #69]    - [Thread #69] running on [1/28] CPUs
[1602772133.901537]          [Thread #69]      Creating output directories...
[1602772133.904503]          [Thread #69]      Translating reads...
[1602772153.5274138]         [Thread #69]      Running DIAMOND...
[1602772159.3253293]         [Thread #69]      Converting DIAMOND...
[1602772159.4363651]         [Thread #69]      Parsing DIAMOND...
[1602772159.6039343]         [Thread #69]      Annotating...
[1602772160.0316055]         [Thread #69]      Analyzing...
[1602772160.3280706]         [Thread #69]      Create read mapping...
[1602772174.427288]          [Thread #69]    - [Thread #69] finished
[1602772198.992907]          [Thread #72]    - [Thread #72] running on [1/28] CPUs
[1602772198.9929888]         [Thread #72]      Creating output directories...
[1602772198.9970498]         [Thread #72]      Translating reads...
[1602772218.0616665]         [Thread #72]      Running DIAMOND...
[1602772223.726707]          [Thread #72]      Converting DIAMOND...
[1602772223.837463]          [Thread #72]      Parsing DIAMOND...
[1602772224.017301]          [Thread #72]      Annotating...
[1602772224.1809945]         [Thread #72]      Analyzing...
[1602772224.5135827]         [Thread #72]      Create read mapping...
[1602772239.7070932]         [Thread #72]    - [Thread #72] finished
[1602772220.3591163]         [Thread #73]    - [Thread #73] running on [1/28] CPUs
[1602772220.3591979]         [Thread #73]      Creating output directories...
[1602772220.361988]          [Thread #73]      Translating reads...
[1602772239.6164608]         [Thread #73]      Running DIAMOND...
[1602772245.3611717]         [Thread #73]      Converting DIAMOND...
[1602772245.483187]          [Thread #73]      Parsing DIAMOND...
